id_student,id_courses,grade
21,9,7.6
21,10,14.33
22,1,12.54
22,2,13.94
22,3,15.55
22,4,16.08
22,5,15.35
22,6,8.99
22,7,10.14
22,8,17.6
22,9,12.99
22,10,9.06
23,1,10.57
23,2,15.58
23,3,16.73
23,4,11.24
23,5,11.02
23,6,12.05
23,7,12.99
23,8,12.21
23,9,10.88
23,10,12.63
24,1,13.69
24,2,12.72
24,3,10.1
24,4,17.6
24,5,12.16
24,6,14.58
24,7,16.34
24,8,9.68
24,9,10.08
24,10,10.8
25,1,4.4
25,2,16.73
25,3,11.39
25,4,15.43
25,5,9.97
25,6,16.12
25,7,10.8
25,8,12.63
25,9,11.61
25,10,15.51
26,1,14.84
26,2,12.63
26,3,11.14
26,4,8.03
26,5,8.22
26,6,14.63
26,7,13.13
26,8,12.81
26,9,13.26
26,10,15.71
27,1,9.88
27,2,8.1
27,3,15.1
27,4,18.65
27,5,15.04
27,6,9.79
27,7,16.46
27,8,12.07
27,9,6.81
27,10,14.0
28,1,13.13
28,2,8.98
28,3,8.09
28,4,14.23
28,5,12.31
28,6,9.36
28,7,4.5
28,8,8.36
28,9,7.74
28,10,13.65
29,1,14.65
29,2,10.2
29,3,15.24
29,4,13.3
29,5,9.49
29,6,17.69
29,7,14.68
29,8,11.97
29,9,14.89
29,10,14.22
30,1,13.22
30,2,13.57
30,3,9.61
30,4,9.7
30,5,16.87
30,6,8.92
30,7,15.67
30,8,7.37
30,9,15.49
30,10,14.43
31,1,16.75
31,2,14.36
31,3,16.04
31,4,8.09
31,5,6.0
31,6,15.94
31,7,14.29
31,8,9.96
31,9,9.34
31,10,10.9
32,1,8.36
32,2,20.0
32,3,12.9
32,4,8.74
32,5,9.54
32,6,8.63
32,7,14.5
32,8,11.46
32,9,15.36
32,10,13.68
33,1,9.89
33,2,14.8
33,3,11.99
33,4,13.5
33,5,13.52
33,6,13.53
33,7,11.07
33,8,14.74
33,9,17.56
33,10,11.39
34,1,13.59
34,2,15.86
34,3,16.74
34,4,12.68
34,5,9.63
34,6,12.83
34,7,13.32
34,8,10.83
34,9,9.94
34,10,8.43
35,1,10.5
35,2,11.54
35,3,7.76
35,4,14.38
35,5,12.0
35,6,3.47
35,7,12.72
35,8,11.83
35,9,6.18
35,10,10.65
36,1,12.88
36,2,10.7
36,3,7.62
36,4,18.0
36,5,8.3
36,6,9.3
36,7,13.51
36,8,11.94
36,9,13.56
36,10,13.42
37,1,7.55
37,2,11.67
37,3,10.01
37,4,14.29
37,5,17.39
37,6,10.62
37,7,15.77
37,8,16.17
37,9,12.08
37,10,11.17
38,1,16.58
38,2,12.66
38,3,17.63
38,4,16.13
38,5,16.4
38,6,6.93
38,7,11.97
38,8,10.32
38,9,10.63
38,10,14.71
39,1,9.43
39,2,15.85
39,3,15.13
39,4,13.12
39,5,17.17
39,6,17.17
39,7,6.95
39,8,11.88
39,9,15.45
39,10,8.15
40,1,10.25
40,2,12.21
40,3,12.95
40,4,6.45
40,5,11.98
40,6,7.21
40,7,11.41
40,8,10.77
40,9,12.9
40,10,7.02
41,1,11.45
41,2,19.59
41,3,9.69
41,4,10.5
41,5,15.46
41,6,10.31
41,7,10.14
41,8,11.85
41,9,13.82
41,10,4.8
42,1,9.71
42,2,17.04
42,3,15.61
42,4,13.33
42,5,13.79
42,6,12.23
42,7,15.96
42,8,7.75
42,9,10.97
42,10,11.55
43,1,10.11
43,2,6.65
43,3,14.65
43,4,12.84
43,5,7.8
43,6,12.33
43,7,13.82
43,8,13.36
43,9,10.3
43,10,11.22
44,1,12.97
44,2,8.51
44,3,9.5
44,4,12.62
44,5,11.26
44,6,11.91
44,7,8.36
44,8,13.45
44,9,12.14
44,10,13.52
45,1,15.78
45,2,13.68
45,3,12.06
45,4,15.93
45,5,8.42
45,6,13.8
45,7,16.79
45,8,10.39
45,9,8.06
45,10,9.37
46,1,10.62
46,2,11.26
46,3,13.42
46,4,11.69
46,5,12.7
46,6,14.78
46,7,12.86
46,8,9.26
46,9,5.77
46,10,11.71
47,1,4.76
47,2,14.05
47,3,11.3
47,4,10.48
47,5,12.65
47,6,12.11
47,7,9.34
47,8,16.43
47,9,13.05
47,10,11.94
48,1,9.28
48,2,10.62
48,3,15.24
48,4,7.56
48,5,11.45
48,6,10.01
48,7,15.71
48,8,7.51
48,9,9.35
48,10,13.07
49,1,16.35
49,2,9.64
49,3,10.25
49,4,11.35
49,5,11.43
49,6,14.76
49,7,11.59
49,8,10.66
49,9,8.73
49,10,8.83
50,1,7.3
50,2,11.8
50,3,12.05
50,4,9.16
50,5,16.82
50,6,8.5
50,7,7.32
50,8,13.84
50,9,15.46
50,10,16.63
51,1,14.94
51,2,12.43
51,3,12.78
51,4,15.89
51,5,13.74
51,6,13.22
51,7,18.4
51,8,12.76
51,9,16.57
51,10,12.05
51,11,9.27
51,12,11.48
51,13,9.65
51,14,12.9
51,15,11.63
51,16,14.88
51,17,9.44
51,18,7.8
51,19,11.39
51,20,9.11
52,1,15.69
52,2,18.35
52,3,8.08
52,4,15.61
52,5,10.68
52,6,8.51
52,7,12.98
52,8,11.8
52,9,12.54
52,10,9.69
52,11,12.94
52,12,9.26
52,13,16.33
52,14,13.66
52,15,9.08
52,16,13.71
52,17,10.9
52,18,10.49
52,19,15.72
52,20,14.0
53,1,13.2
53,2,18.79
53,3,11.93
53,4,13.26
53,5,3.92
53,6,12.29
53,7,15.09
53,8,13.96
53,9,11.63
53,10,7.07
53,11,9.86
53,12,10.21
53,13,11.64
53,14,9.61
53,15,8.96
53,16,17.71
53,17,14.85
53,18,15.75
53,19,9.05
53,20,11.01
54,1,7.26
54,2,11.32
54,3,11.83
54,4,13.35
54,5,17.26
54,6,9.76
54,7,11.35
54,8,12.72
54,9,9.49
54,10,9.99
54,11,8.62
54,12,11.55
54,13,15.2
54,14,10.57
54,15,5.97
54,16,8.46
54,17,12.32
54,18,13.12
54,19,16.4
54,20,18.8
55,1,14.18
55,2,10.91
55,3,13.82
55,4,8.5
55,5,10.71
55,6,11.6
55,7,8.41
55,8,11.77
55,9,11.1
55,10,12.91
55,11,6.57
55,12,18.42
55,13,9.3
55,14,12.54
55,15,11.13
55,16,12.51
55,17,16.01
55,18,9.81
55,19,11.21
55,20,17.42
56,1,14.36
56,2,11.8
56,3,9.6
56,4,8.28
56,5,10.26
56,6,14.74
56,7,15.67
56,8,14.61
56,9,16.73
56,10,12.47
56,11,7.73
56,12,10.97
56,13,7.26
56,14,8.38
56,15,10.95
56,16,11.98
56,17,11.25
56,18,16.6
56,19,10.11
56,20,10.8
57,1,10.58
57,2,9.87
57,3,8.71
57,4,12.4
57,5,14.57
57,6,13.5
57,7,10.52
57,8,12.18
57,9,9.48
57,10,11.31
57,11,12.21
57,12,11.67
57,13,13.48
57,14,9.61
57,15,15.09
57,16,10.83
57,17,10.14
57,18,15.52
57,19,10.15
57,20,16.73
58,1,11.75
58,2,10.85
58,3,11.44
58,4,15.85
58,5,10.83
58,6,11.04
58,7,11.32
58,8,15.1
58,9,9.52
58,10,11.17
58,11,12.92
58,12,13.82
58,13,16.34
58,14,10.95
58,15,12.03
58,16,10.39
58,17,6.16
58,18,13.66
58,19,11.64
58,20,13.52
59,1,13.29
59,2,11.82
59,3,11.58
59,4,11.92
59,5,11.97
59,6,9.82
59,7,10.37
59,8,15.79
59,9,12.63
59,10,13.12
59,11,9.25
59,12,17.32
59,13,7.88
59,14,15.0
59,15,14.77
59,16,13.11
59,17,16.33
59,18,12.91
59,19,12.71
59,20,12.82
60,1,11.38
60,2,17.98
60,3,10.45
60,4,15.28
60,5,15.41
60,6,14.9
60,7,15.03
60,8,12.61
60,9,6.19
60,10,15.71
60,11,16.63
60,12,15.87
60,13,13.53
60,14,12.58
60,15,7.92
60,16,9.89
60,17,12.3
60,18,14.91
60,19,9.58
60,20,8.94
61,1,13.1
61,2,7.56
61,3,11.01
61,4,6.03
61,5,12.28
61,6,14.35
61,7,10.69
61,8,7.48
61,9,15.65
61,10,11.63
61,11,10.31
61,12,16.21
61,13,10.2
61,14,10.34
61,15,10.47
61,16,15.31
61,17,14.42
61,18,13.64
61,19,12.91
61,20,12.47
62,1,13.76
62,2,10.2
62,3,14.69
62,4,14.39
62,5,8.37
62,6,18.63
62,7,15.99
62,8,18.49
62,9,11.9
62,10,9.0
62,11,2.8
62,12,12.85
62,13,6.78
62,14,9.96
62,15,9.17
62,16,13.21
62,17,4.68
62,18,11.64
62,19,11.23
62,20,10.79
63,1,11.09
63,2,10.08
63,3,12.79
63,4,10.56
63,5,11.82
63,6,10.41
63,7,11.71
63,8,13.39
63,9,11.16
63,10,12.8
63,11,15.41
63,12,10.84
63,13,14.45
63,14,17.27
63,15,10.83
63,16,11.5
63,17,11.37
63,18,7.92
63,19,14.95
63,20,11.55
64,1,12.59
64,2,7.24
64,3,12.04
64,4,4.49
64,5,10.69
64,6,11.17
64,7,12.11
64,8,17.38
64,9,12.64
64,10,13.94
64,11,9.37
64,12,9.06
64,13,10.63
64,14,10.93
64,15,10.25
64,16,14.03
64,17,15.17
64,18,8.3
64,19,9.83
64,20,10.16
65,1,12.16
65,2,8.93
65,3,11.78
65,4,8.4
65,5,10.59
65,6,3.3
65,7,9.91
65,8,10.47
65,9,12.39
65,10,5.04
65,11,13.32
65,12,20.0
65,13,13.72
65,14,6.01
65,15,14.16
65,16,14.91
65,17,8.06
65,18,7.64
65,19,14.13
65,20,11.84
66,1,11.08
66,2,14.16
66,3,13.23
66,4,17.87
66,5,11.26
66,6,14.53
66,7,15.21
66,8,11.53
66,9,12.5
66,10,8.21
66,11,17.27
66,12,16.81
66,13,15.51
66,14,9.2
66,15,11.31
66,16,14.75
66,17,15.76
66,18,10.26
66,19,11.47
66,20,8.61
67,1,8.5
67,2,8.43
67,3,10.47
67,4,12.49
67,5,8.77
67,6,9.37
67,7,14.81
67,8,7.23
67,9,17.3
67,10,13.14
67,11,13.31
67,12,14.67
67,13,10.9
67,14,14.21
67,15,11.82
67,16,11.49
67,17,7.83
67,18,19.05
67,19,14.2
67,20,12.93
68,1,11.07
68,2,14.73
68,3,14.42
68,4,6.4
68,5,8.96
68,6,11.17
68,7,14.58
68,8,15.21
68,9,19.5
68,10,13.28
68,11,13.24
68,12,11.87
68,13,8.62
68,14,16.72
68,15,10.14
68,16,4.6
68,17,12.53
68,18,9.86
68,19,11.41
68,20,12.13
69,1,10.45
69,2,9.92
69,3,10.84
69,4,12.47
69,5,12.13
69,6,16.63
69,7,10.55
69,8,15.81
69,9,12.03
69,10,16.99
69,11,14.33
69,12,8.14
69,13,15.32
69,14,14.4
69,15,11.2
69,16,10.04
69,17,16.16
69,18,16.38
69,19,12.22
69,20,12.7
70,1,14.15
70,2,14.41
70,3,13.58
70,4,9.96
70,5,14.88
70,6,9.7
70,7,8.92
70,8,13.71
70,9,9.6
70,10,14.5
70,11,19.46
70,12,12.7
70,13,9.85
70,14,6.79
70,15,8.92
70,16,14.52
70,17,11.09
70,18,14.4
70,19,10.67
70,20,11.05
71,1,12.16
71,2,4.9
71,3,11.42
71,4,6.97
71,5,12.37
71,6,11.33
71,7,14.47
71,8,11.29
71,9,8.78
71,10,14.28
71,11,11.12
71,12,14.1
71,13,7.3
71,14,15.57
71,15,13.66
71,16,15.12
71,17,15.85
71,18,17.09
71,19,14.42
71,20,9.63
72,1,10.32
72,2,13.01
72,3,14.74
72,4,15.22
72,5,14.87
72,6,4.98
72,7,16.0
72,8,11.39
72,9,9.61
72,10,11.41
72,11,16.43
72,12,11.7
72,13,14.37
72,14,6.35
72,15,12.87
72,16,9.22
72,17,13.51
72,18,7.95
72,19,14.48
72,20,7.61
73,1,8.69
73,2,12.41
73,3,11.48
73,4,7.15
73,5,12.72
73,6,16.16
73,7,14.6
73,8,13.01
73,9,10.54
73,10,15.66
73,11,7.97
73,12,10.11
73,13,10.78
73,14,16.72
73,15,9.94
73,16,12.53
73,17,14.92
73,18,6.88
73,19,13.25
73,20,14.78
74,1,18.45
74,2,12.27
74,3,11.05
74,4,12.48
74,5,8.13
74,6,11.52
74,7,13.75
74,8,11.65
74,9,8.76
74,10,13.2
74,11,14.91
74,12,15.54
74,13,10.82
74,14,10.33
74,15,8.59
74,16,16.86
74,17,11.57
74,18,13.83
74,19,7.04
74,20,10.09
75,1,11.64
75,2,13.22
75,3,11.14
75,4,11.0
75,5,15.59
75,6,14.56
75,7,11.16
75,8,12.19
75,9,8.75
75,10,12.83
75,11,14.32
75,12,8.04
75,13,8.24
75,14,16.29
75,15,14.95
75,16,16.77
75,17,11.37
75,18,12.74
75,19,15.27
75,20,11.64
76,1,9.51
76,2,12.36
76,3,10.32
76,4,12.93
76,5,10.4
76,6,9.01
76,7,6.42
76,8,17.78
76,9,9.04
76,10,13.15
76,11,15.46
76,12,18.77
76,13,11.79
76,14,12.05
76,15,11.94
76,16,18.79
76,17,7.07
76,18,12.51
76,19,9.29
76,20,12.82
77,1,20.0
77,2,10.24
77,3,7.7
77,4,8.0
77,5,12.61
77,6,16.45
77,7,15.64
77,8,16.8
77,9,9.7
77,10,13.52
77,11,14.36
77,12,14.89
77,13,9.58
77,14,10.22
77,15,13.69
77,16,14.18
77,17,12.71
77,18,9.85
77,19,13.63
77,20,12.49
78,1,12.66
78,2,14.38
78,3,18.09
78,4,13.58
78,5,15.78
78,6,11.32
78,7,10.77
78,8,13.5
78,9,16.79
78,10,9.04
78,11,8.99
78,12,13.04
78,13,12.25
78,14,8.89
78,15,13.57
78,16,10.65
78,17,8.48
78,18,14.85
78,19,11.38
78,20,10.99
79,1,12.51
79,2,9.37
79,3,12.08
79,4,9.56
79,5,9.11
79,6,11.14
79,7,11.38
79,8,14.49
79,9,12.99
79,10,19.7
79,11,15.2
79,12,15.4
79,13,17.46
79,14,6.24
79,15,9.62
79,16,5.64
79,17,9.17
79,18,8.19
79,19,12.41
79,20,8.73
80,1,8.59
80,2,13.58
80,3,10.21
80,4,8.72
80,5,15.96
80,6,12.36
80,7,15.09
80,8,13.2
80,9,13.22
80,10,11.43
80,11,13.63
80,12,14.47
80,13,13.4
80,14,14.25
80,15,7.4
80,16,14.59
80,17,9.7
80,18,9.31
80,19,13.86
80,20,8.62
81,1,15.64
81,2,5.16
81,3,8.98
81,4,12.37
81,5,14.18
81,6,12.79
81,7,14.88
81,8,9.09
81,9,7.46
81,10,14.18
81,11,11.55
81,12,10.73
81,13,17.32
81,14,9.06
81,15,12.04
81,16,8.6
81,17,11.64
81,18,11.09
81,19,11.2
81,20,10.46
82,1,7.69
82,2,13.76
82,3,13.55
82,4,11.48
82,5,14.28
82,6,12.18
82,7,5.38
82,8,10.11
82,9,11.42
82,10,9.8
82,11,8.26
82,12,15.61
82,13,11.5
82,14,7.94
82,15,14.83
82,16,10.33
82,17,13.8
82,18,11.61
82,19,14.18
82,20,11.9
83,1,13.81
83,2,18.62
83,3,8.86
83,4,10.78
83,5,12.28
83,6,16.65
83,7,5.44
83,8,10.32
83,9,16.62
83,10,9.56
83,11,9.06
83,12,13.18
83,13,7.26
83,14,13.98
83,15,12.26
83,16,9.14
83,17,10.3
83,18,7.92
83,19,13.67
83,20,9.53
84,1,14.59
84,2,9.49
84,3,8.19
84,4,13.2
84,5,15.3
84,6,12.76
84,7,12.77
84,8,11.13
84,9,17.1
84,10,12.29
84,11,10.81
84,12,10.78
84,13,12.91
84,14,11.2
84,15,14.33
84,16,12.8
84,17,10.64
84,18,10.75
84,19,16.62
84,20,15.94
85,1,6.63
85,2,9.72
85,3,11.47
85,4,15.27
85,5,12.96
85,6,8.88
85,7,14.95
85,8,8.92
85,9,14.0
85,10,14.34
85,11,12.07
85,12,11.2
85,13,13.16
85,14,13.42
85,15,9.27
85,16,12.43
85,17,19.02
85,18,16.38
85,19,9.13
85,20,6.96
86,1,17.0
86,2,12.28
86,3,9.65
86,4,9.22
86,5,10.46
86,6,10.12
86,7,13.56
86,8,13.77
86,9,15.58
86,10,9.08
86,11,13.38
86,12,14.39
86,13,11.32
86,14,11.57
86,15,11.61
86,16,11.02
86,17,12.77
86,18,9.26
86,19,11.75
86,20,10.14
87,1,13.27
87,2,20.0
87,3,15.38
87,4,15.01
87,5,8.47
87,6,13.32
87,7,15.35
87,8,11.75
87,9,11.22
87,10,8.18
87,11,14.31
87,12,9.12
87,13,18.13
87,14,15.76
87,15,11.27
87,16,15.11
87,17,7.91
87,18,16.21
87,19,15.6
87,20,11.7
88,1,9.34
88,2,15.38
88,3,12.42
88,4,12.74
88,5,8.48
88,6,14.58
88,7,17.31
88,8,9.24
88,9,9.85
88,10,11.57
88,11,13.64
88,12,12.07
88,13,14.88
88,14,8.74
88,15,15.25
88,16,14.06
88,17,11.74
88,18,7.13
88,19,12.7
88,20,6.16
89,1,9.47
89,2,14.69
89,3,12.37
89,4,12.4
89,5,5.44
89,6,15.76
89,7,14.69
89,8,7.03
89,9,11.16
89,10,10.02
89,11,8.45
89,12,10.72
89,13,15.08
89,14,8.63
89,15,10.7
89,16,14.46
89,17,15.85
89,18,13.34
89,19,8.49
89,20,12.21
90,1,13.86
90,2,12.78
90,3,15.82
90,4,11.58
90,5,8.89
90,6,16.88
90,7,13.75
90,8,12.11
90,9,16.38
90,10,11.08
90,11,7.24
90,12,10.44
90,13,11.06
90,14,10.12
90,15,7.15
90,16,8.58
90,17,14.52
90,18,14.32
90,19,7.96
90,20,12.47
91,1,10.1
91,2,15.48
91,3,15.97
91,4,12.77
91,5,10.5
91,6,9.16
91,7,11.19
91,8,12.1
91,9,13.72
91,10,11.16
91,11,8.12
91,12,11.48
91,13,10.34
91,14,16.86
91,15,8.39
91,16,11.53
91,17,13.71
91,18,12.97
91,19,13.85
91,20,15.28
92,1,15.97
92,2,15.47
92,3,18.1
92,4,12.36
92,5,13.02
92,6,8.13
92,7,9.2
92,8,7.13
92,9,11.15
92,10,14.43
92,11,10.03
92,12,10.4
92,13,9.66
92,14,11.99
92,15,13.87
92,16,13.2
92,17,12.81
92,18,16.32
92,19,12.63
92,20,6.55
93,1,10.83
93,2,9.42
93,3,11.7
93,4,14.9
93,5,13.71
93,6,10.84
93,7,10.88
93,8,14.89
93,9,8.74
93,10,10.65
93,11,11.57
93,12,14.74
93,13,10.63
93,14,10.59
93,15,11.21
93,16,12.7
93,17,11.9
93,18,14.07
93,19,6.83
93,20,9.95
94,1,6.35
94,2,13.07
94,3,14.55
94,4,11.26
94,5,15.42
94,6,14.44
94,7,7.58
94,8,5.48
94,9,14.37
94,10,11.48
94,11,11.98
94,12,18.72
94,13,13.43
94,14,9.3
94,15,11.26
94,16,10.01
94,17,14.65
94,18,9.78
94,19,11.29
94,20,12.57
95,1,11.44
95,2,10.86
95,3,10.94
95,4,12.94
95,5,13.79
95,6,12.51
95,7,10.72
95,8,13.47
95,9,11.55
95,10,10.4
95,11,9.78
95,12,10.93
95,13,10.72
95,14,8.9
95,15,10.8
95,16,12.86
95,17,13.48
95,18,16.24
95,19,16.33
95,20,14.2
96,1,5.65
96,2,9.61
96,3,14.38
96,4,9.11
96,5,16.02
96,6,11.09
96,7,6.67
96,8,11.29
96,9,11.95
96,10,8.97
96,11,6.97
96,12,11.98
96,13,7.15
96,14,11.47
96,15,11.13
96,16,7.19
96,17,14.75
96,18,10.52
96,19,14.12
96,20,15.17
97,1,17.24
97,2,8.2
97,3,12.66
97,4,7.4
97,5,13.21
97,6,18.02
97,7,18.17
97,8,16.01
97,9,7.77
97,10,14.71
97,11,7.55
97,12,12.81
97,13,7.13
97,14,12.8
97,15,17.23
97,16,13.25
97,17,8.1
97,18,11.05
97,19,16.43
97,20,14.34
98,1,15.17
98,2,8.68
98,3,9.15
98,4,15.26
98,5,9.16
98,6,13.7
98,7,7.73
98,8,10.22
98,9,12.55
98,10,16.39
98,11,12.97
98,12,11.94
98,13,12.21
98,14,11.08
98,15,14.98
98,16,13.01
98,17,11.69
98,18,11.98
98,19,12.02
98,20,9.15
99,1,10.88
99,2,12.61
99,3,14.18
99,4,10.53
99,5,15.21
99,6,13.52
99,7,10.74
99,8,12.44
99,9,10.96
99,10,14.48
99,11,14.96
99,12,20.0
99,13,6.0
99,14,14.83
99,15,13.39
99,16,13.46
99,17,11.58
99,18,11.86
99,19,15.36
99,20,13.2
100,1,8.75
100,2,11.12
100,3,9.62
100,4,13.22
100,5,9.46
100,6,12.84
100,7,8.02
100,8,14.68
100,9,9.33
100,10,7.0
100,11,13.33
100,12,16.07
100,13,10.77
100,14,5.15
100,15,13.01
100,16,8.65
100,17,9.58
100,18,13.93
100,19,11.55
100,20,9.61
101,1,12.02
101,2,11.35
101,3,12.62
101,4,11.78
101,5,9.31
101,6,11.33
101,7,10.61
101,8,13.05
101,9,10.27
101,10,10.95
101,11,7.41
101,12,10.19
101,13,13.56
101,14,14.29
101,15,17.42
101,16,10.63
101,17,9.94
101,18,10.6
101,19,10.0
101,20,6.0
101,21,12.73
101,22,11.24
101,23,12.02
101,24,13.9
101,25,14.23
101,26,11.22
101,27,10.22
101,28,17.23
101,29,14.27
101,30,10.53
102,1,11.94
102,2,11.48
102,3,6.68
102,4,11.71
102,5,10.24
102,6,9.61
102,7,17.4
102,8,11.55
102,9,11.05
102,10,13.66
102,11,15.04
102,12,14.74
102,13,12.97
102,14,14.12
102,15,14.04
102,16,13.43
102,17,4.36
102,18,10.44
102,19,14.58
102,20,8.38
102,21,12.33
102,22,10.83
102,23,8.16
102,24,12.59
102,25,15.58
102,26,8.12
102,27,8.7
102,28,17.22
102,29,7.97
102,30,13.88
103,1,11.43
103,2,17.11
103,3,14.35
103,4,12.26
103,5,10.49
103,6,12.42
103,7,16.19
103,8,13.28
103,9,11.76
103,10,11.9
103,11,11.8
103,12,9.67
103,13,14.68
103,14,13.62
103,15,9.75
103,16,11.17
103,17,7.43
103,18,9.96
103,19,9.2
103,20,17.73
103,21,11.48
103,22,8.09
103,23,12.78
103,24,12.6
103,25,15.19
103,26,7.78
103,27,9.02
103,28,12.98
103,29,9.79
103,30,6.3
104,1,9.54
104,2,14.53
104,3,7.57
104,4,12.06
104,5,10.8
104,6,11.56
104,7,12.45
104,8,14.85
104,9,8.91
104,10,10.32
104,11,9.24
104,12,17.31
104,13,13.02
104,14,12.62
104,15,15.22
104,16,11.69
104,17,8.74
104,18,14.93
104,19,11.87
104,20,13.15
104,21,18.51
104,22,12.98
104,23,15.77
104,24,9.77
104,25,7.68
104,26,12.21
104,27,14.61
104,28,10.52
104,29,5.83
104,30,16.95
105,1,14.16
105,2,15.38
105,3,14.64
105,4,3.98
105,5,11.7
105,6,11.1
105,7,11.19
105,8,10.08
105,9,16.57
105,10,12.42
105,11,10.21
105,12,13.09
105,13,7.05
105,14,16.36
105,15,9.53
105,16,11.25
105,17,11.98
105,18,15.33
105,19,13.75
105,20,15.61
105,21,4.96
105,22,10.79
105,23,14.06
105,24,8.68
105,25,11.76
105,26,12.62
105,27,13.19
105,28,10.81
105,29,6.09
105,30,13.66
106,1,12.74
106,2,12.06
106,3,13.58
106,4,13.32
106,5,9.34
106,6,12.29
106,7,5.52
106,8,8.17
106,9,12.65
106,10,15.8
106,11,10.75
106,12,15.94
106,13,13.65
106,14,13.74
106,15,9.98
106,16,9.36
106,17,9.57
106,18,13.42
106,19,10.59
106,20,9.59
106,21,10.33
106,22,12.31
106,23,16.36
106,24,12.04
106,25,13.5
106,26,11.34
106,27,11.69
106,28,13.7
106,29,11.48
106,30,14.19
107,1,11.05
107,2,10.46
107,3,10.91
107,4,8.11
107,5,14.01
107,6,6.5
107,7,14.35
107,8,7.88
107,9,8.58
107,10,10.89
107,11,13.71
107,12,7.77
107,13,7.75
107,14,11.86
107,15,12.04
107,16,14.17
107,17,9.86
107,18,11.5
107,19,13.72
107,20,13.99
107,21,11.57
107,22,12.48
107,23,18.17
107,24,13.78
107,25,12.42
107,26,9.15
107,27,7.63
107,28,10.76
107,29,20.0
107,30,16.15
108,1,15.47
108,2,14.53
108,3,16.36
108,4,15.71
108,5,10.04
108,6,11.3
108,7,13.84
108,8,15.16
108,9,12.22
108,10,17.65
108,11,9.82
108,12,9.28
108,13,14.77
108,14,16.98
108,15,10.91
108,16,15.7
108,17,9.21
108,18,12.51
108,19,10.88
108,20,9.03
108,21,14.77
108,22,9.97
108,23,14.35
108,24,13.83
108,25,11.25
108,26,9.16
108,27,8.16
108,28,11.34
108,29,10.18
108,30,10.03
109,1,11.58
109,2,18.54
109,3,9.76
109,4,12.28
109,5,15.99
109,6,14.84
109,7,10.44
